"상가업소번호","상호명","지점명","상권업종대분류코드","상권업종대분류명","상권업종중분류코드","상권업종중분류명","상권업종소분류코드","상권업종소분류명","표준산업분류코드","표준산업분류명","시도코드","시도명","시군구코드","시군구명","행정동코드","행정동명","법정동코드","법정동명","지번코드","대지구분코드","대지구분명","지번본번지","지번부번지","지번주소","도로명코드","도로명","건물본번지","건물부번지","건물관리번호","건물명","도로명주소","구우편번호","신우편번호","동정보","층정보","호정보","경도","위도"
"MA0106202201A0625231","정부세종청사6동국토교통부카페1층","","G2","소매","G221","기타 상품 소매","G22199","그 외 기타 상품 전문 소매업","G47859","그 외 기타 분류 안된 상품 전문 소매업","36","세종특별자치시","36110","세종특별자치시","36110523","어진동","3611011000","어진동","3611011000105600000","1","대지",560,,"세종특별자치시 세종특별자치시 어진동 560","361103258085","세종특별자치시 세종특별자치시 도움6로",11,,"3611011000100580000000001","","세종특별자치시 세종특별자치시 도움6로 11","339012","30103","","","",127.262486496594,36.5048886318637
"MA0106202201A1366262","만나","보람점","G2","소매","G221","기타 상품 소매","G22199","그 외 기타 상품 전문 소매업","G47859","그 외 기타 분류 안된 상품 전문 소매업","36","세종특별자치시","36110","세종특별자치시","36110560","보람동","3611010300","보람동","3611010300107570000","1","대지",757,,"세종특별자치시 세종특별자치시 보람동 757","361103350790","세종특별자치시 세종특별자치시 남세종로",462,,"3611010300107000076000001","","세종특별자치시 세종특별자치시 남세종로 462","339008","30150","","","",127.288826330096,36.4768558796654
"MA0106202201A0488230","싱싱장터아름점","","G2","소매","G205","식료품 소매","G20502","가축 사료 소매업","G47211","곡물; 곡분 및 가축 사료 소매업","36","세종특별자치시","36110","세종특별자치시","36110530","아름동","3611011300","아름동","3611011300113520000","1","대지",1352,,"세종특별자치시 세종특별자치시 아름동 1352","361103258090","세종특별자치시 세종특별자치시 보듬3로",105,,"3611011300113520000000001","","세종특별자치시 세종특별자치시 보듬3로 105","339011","30100","","","",127.247862063057,36.5113992136162
"MA0106202201A0625439","정부세종청사4동기획재정부카페","","G2","소매","G221","기타 상품 소매","G22199","그 외 기타 상품 전문 소매업","G47859","그 외 기타 분류 안된 상품 전문 소매업","36","세종특별자치시","36110","세종특별자치시","36110523","어진동","3611011000","어진동","3611011000105550000","1","대지",555,,"세종특별자치시 세종특별자치시 어진동 555","361103258073","세종특별자치시 세종특별자치시 갈매로",477,,"3611011000100160001000001","","세종특별자치시 세종특별자치시 갈매로 477","339012","30109","","","",127.26649766077,36.5060061822832
"MA0106202201A2215439","씨제이올리브영세종","소담점","G2","소매","G221","기타 상품 소매","G22199","그 외 기타 상품 전문 소매업","G47859","그 외 기타 분류 안된 상품 전문 소매업","36","세종특별자치시","36110","세종특별자치시","36110555","소담동","3611010200","소담동","3611010200105440000","1","대지",544,,"세종특별자치시 세종특별자치시 소담동 544","361102000002","세종특별자치시 세종특별자치시 한누리대로",2022,,"3611010200100090228000001","","세종특별자치시 세종특별자치시 한누리대로 2022","339010","30151","","","",127.299132511179,36.4844632955823
"MA0106202201A0976972","티스테이션세종대왕점","","G2","소매","G202","자동차 부품 소매","G20202","자동차 부품 소매업","G45219","기타 자동차 신품 부품 및 내장품 판매업","36","세종특별자치시","36110","세종특별자치시","36110340","금남면","3611034037","금남면","3611034037102380000","1","대지",238,,"세종특별자치시 세종특별자치시 금남면 호탄리 238","361103000098","세종특별자치시 세종특별자치시 금남면 금남구즉로",142,9,"3611034037102380000000001","","세종특별자치시 세종특별자치시 금남면 금남구즉로 142-9","339833","30079","","","",127.294270672187,36.4736434659066
"MA0106202201A0123365","지오다노세종파이낸스","","G2","소매","G209","섬유·의복·신발 소매","G20905","기타 의류 소매업","G47419","기타 의복 소매업","36","세종특별자치시","36110","세종특별자치시","36110523","어진동","3611011000","어진동","3611011000106670000","1","대지",667,,"세종특별자치시 세종특별자치시 어진동 667","361103258074","세종특별자치시 세종특별자치시 가름로",194,,"3611011000106670000000001","","세종특별자치시 세종특별자치시 가름로 194","339012","30121","","","",127.261532951462,36.4968434084201
"MA0106202201A2175330","마미버드","","G2","소매","G209","섬유·의복·신발 소매","G20903","유아용 의류 소매업","G47417","유아용 의류 소매업","36","세종특별자치시","36110","세종특별자치시","36110518","나성동","3611010700","나성동","3611010700108110000","1","대지",811,,"세종특별자치시 세종특별자치시 나성동 811","361103351277","세종특별자치시 세종특별자치시 나성로",96,,"3611010700103840000000001","","세종특별자치시 세종특별자치시 나성로 96","339003","30128","","","",127.26100060885,36.487878065118
"MA0106202201A1366259","성웅","","G2","소매","G221","기타 상품 소매","G22199","그 외 기타 상품 전문 소매업","G47859","그 외 기타 분류 안된 상품 전문 소매업","36","세종특별자치시","36110","세종특별자치시","36110530","아름동","3611011300","아름동","3611011300112890000","1","대지",1289,,"세종특별자치시 세종특별자치시 아름동 1289","361103258090","세종특별자치시 세종특별자치시 보듬3로",104,15,"3611011300100880000000001","","세종특별자치시 세종특별자치시 보듬3로 104-15","339011","30100","","","",127.249215689072,36.5122885358686
"MA0106202201A0975979","정관장카페사푼사푼","세종점","I2","음식","I201","한식","I20101","백반/한정식","I56111","한식 일반 음식점업","36","세종특별자치시","36110","세종특별자치시","36110523","어진동","3611011000","어진동","3611011000105390000","1","대지",539,,"세종특별자치시 세종특별자치시 어진동 539","361102000002","세종특별자치시 세종특별자치시 한누리대로",411,,"3611011000105390000000001","","세종특별자치시 세종특별자치시 한누리대로 411","339012","30116","","","",127.25885733607,36.5011297331556
